model:HSVNet step: 11800, loss: 0.100369, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:82.91
model:HSVNet step: 11850, loss: 0.113771, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:83.20
model:HSVNet step: 11900, loss: 0.124148, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:83.48
model:HSVNet step: 11950, loss: 0.139812, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:83.77
model:HSVNet step: 12000, loss: 0.107510, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:84.06
model:HSVNet step: 12050, loss: 0.142113, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:86.41
model:HSVNet step: 12100, loss: 0.156459, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:86.70
model:HSVNet step: 12150, loss: 0.113119, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:86.99
model:HSVNet step: 12200, loss: 0.182333, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:87.28
model:HSVNet step: 12250, loss: 0.163026, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:87.57
model:HSVNet step: 12300, loss: 0.083973, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:87.85
model:HSVNet step: 12350, loss: 0.113984, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:88.14
model:HSVNet step: 12400, loss: 0.096041, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:88.43
model:HSVNet step: 12450, loss: 0.159406, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:88.71
model:HSVNet step: 12500, loss: 0.160865, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:89.00
model:HSVNet step: 12550, loss: 0.162010, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:89.28
model:HSVNet step: 12600, loss: 0.124193, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:89.57
model:HSVNet step: 12650, loss: 0.167408, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:89.86
model:HSVNet step: 12700, loss: 0.120221, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:90.14
model:HSVNet step: 12750, loss: 0.092129, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:90.43
model:HSVNet step: 12800, loss: 0.105229, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:90.72
model:HSVNet step: 12850, loss: 0.122409, psnr: 20.27406460345836, ssim: 0.8205027798414231, minute:91.01
