model:HSVNet step: 50, loss: 0.088175, psnr: 0, ssim: 0, minute:0.26
model:HSVNet step: 9900, loss: 0.089538, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:23.20
model:HSVNet step: 9950, loss: 0.130176, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:23.27
model:HSVNet step: 10000, loss: 0.057196, psnr: 18.87636385779795, ssim: 0.3629581093788147, minute:23.34
model:HSVNet step: 50, loss: 0.213714, psnr: 0, ssim: 0, minute:0.18
model:HSVNet step: 100, loss: 0.138667, psnr: 0, ssim: 0, minute:0.32
model:HSVNet step: 150, loss: 0.091788, psnr: 0, ssim: 0, minute:0.46
model:HSVNet step: 200, loss: 0.113011, psnr: 0, ssim: 0, minute:0.60
model:HSVNet step: 250, loss: 0.130726, psnr: 19.150279469394185, ssim: 0.6177980005741119, minute:0.76
model:HSVNet step: 300, loss: 0.108784, psnr: 19.150279469394185, ssim: 0.6177980005741119, minute:0.90
model:HSVNet step: 350, loss: 0.123208, psnr: 19.150279469394185, ssim: 0.6177980005741119, minute:1.04
model:HSVNet step: 400, loss: 0.101671, psnr: 19.150279469394185, ssim: 0.6177980005741119, minute:1.18
model:HSVNet step: 450, loss: 0.095949, psnr: 19.150279469394185, ssim: 0.6177980005741119, minute:1.33
model:HSVNet step: 500, loss: 0.064786, psnr: 19.150279469394185, ssim: 0.6177980005741119, minute:1.48
model:HSVNet step: 550, loss: 0.119945, psnr: 19.150279469394185, ssim: 0.6177980005741119, minute:1.62
model:HSVNet step: 600, loss: 0.084075, psnr: 19.150279469394185, ssim: 0.6177980005741119, minute:1.76
model:HSVNet step: 650, loss: 0.053522, psnr: 19.150279469394185, ssim: 0.6177980005741119, minute:1.91
model:HSVNet step: 700, loss: 0.076125, psnr: 19.150279469394185, ssim: 0.6177980005741119, minute:2.06
model:HSVNet step: 750, loss: 0.081411, psnr: 19.150279469394185, ssim: 0.6177980005741119, minute:2.20
model:HSVNet step: 800, loss: 0.049984, psnr: 19.150279469394185, ssim: 0.6177980005741119, minute:2.35
model:HSVNet step: 850, loss: 0.085611, psnr: 19.38137437469045, ssim: 0.6594335436820984, minute:2.50
model:HSVNet step: 900, loss: 0.105734, psnr: 19.38137437469045, ssim: 0.6594335436820984, minute:2.65
model:HSVNet step: 950, loss: 0.104407, psnr: 19.38137437469045, ssim: 0.6594335436820984, minute:2.79
model:HSVNet step: 1000, loss: 0.078605, psnr: 19.38137437469045, ssim: 0.6594335436820984, minute:2.93
model:HSVNet step: 1050, loss: 0.125371, psnr: 19.69052767212016, ssim: 0.6694500803947449, minute:3.09
model:HSVNet step: 1100, loss: 0.116882, psnr: 19.69052767212016, ssim: 0.6694500803947449, minute:3.23
model:HSVNet step: 1150, loss: 0.097921, psnr: 19.69052767212016, ssim: 0.6694500803947449, minute:3.38
model:HSVNet step: 1200, loss: 0.090731, psnr: 19.69052767212016, ssim: 0.6694500803947449, minute:3.52
model:HSVNet step: 1250, loss: 0.109532, psnr: 19.749619148218752, ssim: 0.672370183467865, minute:3.68
model:HSVNet step: 1300, loss: 0.113848, psnr: 19.749619148218752, ssim: 0.672370183467865, minute:3.82
model:HSVNet step: 1350, loss: 0.078703, psnr: 19.749619148218752, ssim: 0.672370183467865, minute:3.97
model:HSVNet step: 1400, loss: 0.126763, psnr: 19.749619148218752, ssim: 0.672370183467865, minute:4.11
model:HSVNet step: 1450, loss: 0.056202, psnr: 19.749619148218752, ssim: 0.672370183467865, minute:4.27
model:HSVNet step: 1500, loss: 0.128980, psnr: 19.749619148218752, ssim: 0.672370183467865, minute:4.42
model:HSVNet step: 1550, loss: 0.074653, psnr: 19.749619148218752, ssim: 0.672370183467865, minute:4.56
model:HSVNet step: 1600, loss: 0.174321, psnr: 19.749619148218752, ssim: 0.672370183467865, minute:4.71
model:HSVNet step: 1650, loss: 0.092047, psnr: 20.07200230963263, ssim: 0.6857585668563843, minute:4.86
model:HSVNet step: 1700, loss: 0.134231, psnr: 20.07200230963263, ssim: 0.6857585668563843, minute:5.01
model:HSVNet step: 1750, loss: 0.133047, psnr: 20.07200230963263, ssim: 0.6857585668563843, minute:5.15
model:HSVNet step: 1800, loss: 0.098116, psnr: 20.07200230963263, ssim: 0.6857585668563843, minute:5.30
